element_id,grouped_element_key,task,level,takt_zone_id,allocation_room,source_category,source_original_category,quantity,quantity_unit,allocation_method,split_from_element_id,split_share
1286559,mep-assembly:1440389:x-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Ducts,,1.0,EA,centroid in room polygon,,1.0
1286570,mep-assembly:1440389:x-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1286571,mep-assembly:1440389:x-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Ducts,,1.0,EA,centroid in room polygon,,1.0
1286584,mep-assembly:1440389:x-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Ducts,,1.0,EA,centroid in room polygon,,1.0
1287032,mep-assembly:1440389:y-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1287033,mep-assembly:1440389:x-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Ducts,,1.0,EA,centroid in room polygon,,1.0
1287066,mep-assembly:1440389:y-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1287067,mep-assembly:1440389:x-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Ducts,,1.0,EA,centroid in room polygon,,1.0
1287079,mep-assembly:1440389:balanced,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1287091,mep-assembly:1440389:y-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1287092,mep-assembly:1440389:x-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Ducts,,1.0,EA,centroid in room polygon,,1.0
1287104,mep-assembly:1440389:y-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1287105,mep-assembly:1440389:x-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Ducts,,1.0,EA,centroid in room polygon,,1.0
1287117,mep-assembly:1440389:balanced,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1287191,mep-assembly:1440389:x-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Ducts,,1.0,EA,centroid in room polygon,,1.0
1287241,mep-assembly:1440389:y-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Ducts,,1.0,EA,centroid in room polygon,,1.0
1287488,mep-assembly:1440389:x-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1287489,mep-assembly:1440389:y-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1287492,mep-assembly:1440389:y-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
1287493,mep-assembly:1440389:x-long,MEP,L 1,L 1 Takt Zone 12,L 1 Room 163,Duct Fittings,,1.0,EA,centroid in room polygon,,1.0
