ID,NAME,CATALOG ID,DESCRIPTION,CATEGORY,SUB CATEGORY,MEASURE UNIT,Vendor,Default Vendor,Pref Vendor,Vendor SKU/Part #,Vendor Description,Vendor Item Cost,Vendor Lead Time
INTW_L_1_WALL,Interior Wall L 1,PART-INTW_L_1_WALL,Interior wall part for L 1,Parts,Prefab Interior,EACH,,,,,,,
EXTW_L_NEG_1_WALL,Exterior Wall L -1 - Wall Panel,PART-EXTW_L_NEG_1_WALL,Exterior wall panel part for L -1,Parts,Prefab Envelope,EACH,,,,,,,
EXTW_L_NEG_1_MULLION-L,Exterior Wall L -1 - Mullion Lengthwise,PART-EXTW_L_NEG_1_MULLION_L,Exterior wall lengthwise mullion part for L -1,Parts,Prefab Envelope,EACH,,,,,,,
EXTW_L_NEG_1_MULLION-B,Exterior Wall L -1 - Mullion Breadthwise,PART-EXTW_L_NEG_1_MULLION_B,Exterior wall breadthwise mullion part for L -1,Parts,Prefab Envelope,EACH,,,,,,,
EXTW_L_NEG_1_GLAZED-PANEL,Exterior Wall L -1 - Glazed Panel,PART-EXTW_L_NEG_1_GLAZED_PANEL,Exterior wall glazed panel part for L -1,Parts,Prefab Envelope,EACH,,,,,,,
EXTW_L_0_WALL,Exterior Wall L 0 - Wall Panel,PART-EXTW_L_0_WALL,Exterior wall panel part for L 0,Parts,Prefab Envelope,EACH,,,,,,,
EXTW_L_0_MULLION-L,Exterior Wall L 0 - Mullion Lengthwise,PART-EXTW_L_0_MULLION_L,Exterior wall lengthwise mullion part for L 0,Parts,Prefab Envelope,EACH,,,,,,,
EXTW_L_0_MULLION-B,Exterior Wall L 0 - Mullion Breadthwise,PART-EXTW_L_0_MULLION_B,Exterior wall breadthwise mullion part for L 0,Parts,Prefab Envelope,EACH,,,,,,,
EXTW_L_0_GLAZED-PANEL,Exterior Wall L 0 - Glazed Panel,PART-EXTW_L_0_GLAZED_PANEL,Exterior wall glazed panel part for L 0,Parts,Prefab Envelope,EACH,,,,,,,
EXTW_L_1_WALL,Exterior Wall L 1 - Wall Panel,PART-EXTW_L_1_WALL,Exterior wall panel part for L 1,Parts,Prefab Envelope,EACH,,,,,,,
EXTW_L_1_MULLION-L,Exterior Wall L 1 - Mullion Lengthwise,PART-EXTW_L_1_MULLION_L,Exterior wall lengthwise mullion part for L 1,Parts,Prefab Envelope,EACH,,,,,,,
EXTW_L_1_MULLION-B,Exterior Wall L 1 - Mullion Breadthwise,PART-EXTW_L_1_MULLION_B,Exterior wall breadthwise mullion part for L 1,Parts,Prefab Envelope,EACH,,,,,,,
EXTW_L_1_GLAZED-PANEL,Exterior Wall L 1 - Glazed Panel,PART-EXTW_L_1_GLAZED_PANEL,Exterior wall glazed panel part for L 1,Parts,Prefab Envelope,EACH,,,,,,,
MESH_L_1_PANEL,Mesh Panel L 1,PART-MESH_L_1_PANEL,Mesh panel part for L 1,Parts,Prefab Envelope,EACH,,,,,,,
CONC_400CF_TRUCK,Concrete Truck Load - 400 CF,PART-CONC_400CF_TRUCK,"Concrete truck delivery load, 400 cubic feet",Parts,Concrete,EACH,,,,,,,
MEP_AIR_TERMINALS_EXHAUST_GRILL_6X6_CONNECTION_3_3_X3,"MEP Air Terminals | Exhaust Grill | 6x6 Connection 3 | 3""x3""",PART-MEP_AIR_TERMINALS-9E41A0A1,"MEP rough-in part for Air Terminals | Exhaust Grill | 6x6 Connection 3 | 3""x3""",Parts,MEP Rough-In,EACH,,,,,,,
MEP_AIR_TERMINALS_KLIMATBYR_C3_A5N_AIRVENT_NETAVENT_NAPT_RFA_2026_LEVELBASED_NAPT_125_5_Ø,"MEP Air Terminals | Klimatbyr%c3%a5n_Airvent_Netavent_NAPT_RFA_2026_LevelBased | NAPT-125 | 5""ø",PART-MEP_AIR_TERMINALS-A84DAAE1,"MEP rough-in part for Air Terminals | Klimatbyr%c3%a5n_Airvent_Netavent_NAPT_RFA_2026_LevelBased | NAPT-125 | 5""ø",Parts,MEP Rough-In,EACH,,,,,,,
MEP_AIR_TERMINALS_KLIMATBYR_C3_A5N_AIRVENT_NETAVENT_NAPT_RFA_2026_LEVELBASED_NAPT_160_6_Ø,"MEP Air Terminals | Klimatbyr%c3%a5n_Airvent_Netavent_NAPT_RFA_2026_LevelBased | NAPT-160 | 6""ø",PART-MEP_AIR_TERMINALS-9FA1C97C,"MEP rough-in part for Air Terminals | Klimatbyr%c3%a5n_Airvent_Netavent_NAPT_RFA_2026_LevelBased | NAPT-160 | 6""ø",Parts,MEP Rough-In,EACH,,,,,,,
