part_id,part_name,catalog_id,category,sub_category,measure_unit,element_count,takeoff_quantity,takeoff_unit,total_area_sf,total_volume_cf,element_ids
STRUCT_FRAME_58_0_STRUCTURAL_BAMBOO_CLB,"Structural Framing 58' - 0"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_58_0-9DCCE4F2,Parts,Structural Framing,EACH,3,3.0,EACH,0.0,598.65,647342|647379|647424
STRUCT_FRAME_6_0_STRUCTURAL_BAMBOO_CLB,"Structural Framing 6' - 0"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_6_0_S-38B898CC,Parts,Structural Framing,EACH,2,2.0,EACH,0.0,39.18,678868|679076
STRUCT_FRAME_7_0_CONCRETE_NORMAL_WEIGHT_4_KSI,"Structural Framing 7' - 0"" | Concrete, Normal Weight - 4 ksi",PART-STRUCT_FRAME_7_0_C-5D833380,Parts,Structural Framing,EACH,1,1.0,EACH,0.0,9.93,691789
STRUCT_FRAME_9_6_STRUCTURAL_BAMBOO_CLB,"Structural Framing 9' - 6"" | Structural Bamboo (CLB)",PART-STRUCT_FRAME_9_6_S-9B8FCD47,Parts,Structural Framing,EACH,3,3.0,EACH,0.0,46.14,630128|672959|682112
STRUCT_FLOOR_L_0_BAMBOO_6_0_6_STRUCTURAL_BAMBOO_CLB,"Structural Floor L 0 | Bamboo - 6"" | 0' - 6"" | Structural Bamboo (CLB)",PART-STRUCT_FLOOR_L_0_B-6FFA9054,Parts,Structural Floors,SF,40,13047.0,SF,13047.0,6522.2,747260|751695|751697|751698|751699|751700|751701|751702|751703|751704|751705|751706|751707|751708|751711|751712|751713|751714|751717|751718|751719|751720|751721|751722|751723|751725|751726|751820|751821|752193|752194|752195|752196|752197|752198|752199|752200|752201|752431|752432
STRUCT_FLOOR_L_1_BAMBOO_6_0_6_STRUCTURAL_BAMBOO_CLB,"Structural Floor L 1 | Bamboo - 6"" | 0' - 6"" | Structural Bamboo (CLB)",PART-STRUCT_FLOOR_L_1_B-4C943E2B,Parts,Structural Floors,SF,53,19137.0,SF,19137.0,9571.0,739909|746245|746246|746247|746248|746250|746251|746252|746258|746259|746260|746261|746262|746263|746265|746266|746267|746268|746269|746270|746272|746273|746274|746280|746282|746283|746286|746288|746289|747239|747240|747241|747242|747243|747244|747245|747246|747247|747248|747249|747250|747251|747252|747253|747254|753159|753160|753161|753162|753164|753165|753376|753377
STRUCT_FLOOR_ROOF_BAMBOO_6_0_6_STRUCTURAL_BAMBOO_CLB,"Structural Floor Roof | Bamboo - 6"" | 0' - 6"" | Structural Bamboo (CLB)",PART-STRUCT_FLOOR_ROOF-B2F08FB7,Parts,Structural Floors,SF,73,26671.0,SF,26671.0,13334.9,713630|726867|726868|726869|726870|726876|726879|726880|726883|726889|726890|726891|726892|726894|726895|726899|726906|726909|726912|726913|726914|726915|726916|726918|726922|732262|732263|732264|732265|732266|732267|732268|732678|732681|732683|732684|732685|732686|733004|733006|733452|734384|734385|735849|735850|735851|735852|735853|736281|736282|737137|737138|737139|737140|737141|737142|737143|737144|737145|737146|737147|737149|737484|737485|737486|737700|739384|739385|739386|739387|739879|739880|739881
INTW_L_NEG_1_WALL,Interior Wall L -1,PART-INTW_L_NEG_1_WALL,Parts,Prefab Interior,EACH,42,42.0,EACH,4326.0,2706.18,1407241|1407928|1515329|1515333|1515334|1516005|1516683|1516723|1537404|1537528|1537901|1610794|1630868|1631433|1633116|1634227|1634397|1675286|1695664|1710678|1773818|1773993|1774763|1775440|1777575|1779421|1779738|1779997|1943499|1943544|1943574|1943630|1943683|1943723|1943755|1943797|1967723|1971369|1992218|1992635|1993388|2179040
INTW_L_0_WALL,Interior Wall L 0,PART-INTW_L_0_WALL,Parts,Prefab Interior,EACH,42,42.0,EACH,4514.0,3010.6,1352336|1387392|1403081|1403682|1502824|1720735|1720779|1775693|1776011|1776132|1776203|1776411|1776493|1776593|1992761|2173036|2173303|2175005|2175262|2175569|2177543|2178159|2178442|2180086|2181278|2181371|2181464|2181573|2181649|2181841|2182224|2182304|2182380|2182796|2182888|2182947|2182948|2183054|2183137|2186904|2187593|2187665
INTW_L_1_WALL,Interior Wall L 1,PART-INTW_L_1_WALL,Parts,Prefab Interior,EACH,91,91.0,EACH,8451.0,5434.2,1249262|1249295|1249332|1249372|1249405|1249438|1249463|1249493|1249530|1249558|1249706|1249741|1249986|1250022|1250048|1250076|1250100|1250193|1250299|1286603|1286681|1324711|1355120|1368267|1378909|1379108|1379153|1379178|1379208|1523748|1525073|1525831|1620235|1620862|1626925|1722264|1885961|1886283|1886661|1886856|1887063|1887103|1887145|1887184|1952046|1952186|1995789|2008766|2009644|2009682|2012235|2168568|2168964|2169090|2169420|2169589|2169746|2169836|2170012|2170228|2173074|2173306|2175265|2175573|2177547|2178162|2179179|2180110|2180442|2180533|2181281|2181374|2181467|2181576|2181652|2181844|2182227|2182307|2182383|2182799|2182891|2182951|2182952|2183057|2183140|2183250|2186907|2187596|2187668|2190702|2191628
