delivery_unit_id,need_ts,volume_cf,storage_area_sf,element_count,takt_zones,levels,disciplines,categories,first_task,source,need_date
PO-000045:INTW_L_NEG_1_ASSEMBLY,2029-12-03 00:00:00,722.97,1353.0,16.0,L -1 Zone 1|L -1 Zone 4,L -1,Architecture,Generic Models|Walls,Interior Walls L -1,Production Order,2029-12-03
PO-000046:MEP_L_NEG_1_G001,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 001,Production Order,2029-12-03
PO-000047:MEP_L_NEG_1_G002,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 002,Production Order,2029-12-03
PO-000048:MEP_L_NEG_1_G003,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 003,Production Order,2029-12-03
PO-000049:MEP_L_NEG_1_G004,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 004,Production Order,2029-12-03
PO-000050:MEP_L_NEG_1_G005,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 005,Production Order,2029-12-03
PO-000051:MEP_L_NEG_1_G006,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 006,Production Order,2029-12-03
PO-000052:MEP_L_NEG_1_G007,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 007,Production Order,2029-12-03
PO-000053:MEP_L_NEG_1_G008,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 008,Production Order,2029-12-03
PO-000054:MEP_L_NEG_1_G009,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 009,Production Order,2029-12-03
PO-000055:MEP_L_NEG_1_G010,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 010,Production Order,2029-12-03
PO-000056:MEP_L_NEG_1_G011,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 011,Production Order,2029-12-03
PO-000057:MEP_L_NEG_1_G012,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 012,Production Order,2029-12-03
PO-000058:MEP_L_NEG_1_G013,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 013,Production Order,2029-12-03
PO-000059:MEP_L_NEG_1_G014,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 014,Production Order,2029-12-03
PO-000060:MEP_L_NEG_1_G015,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 015,Production Order,2029-12-03
PO-000061:MEP_L_NEG_1_G016,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 016,Production Order,2029-12-03
PO-000062:MEP_L_NEG_1_G017,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 017,Production Order,2029-12-03
PO-000063:MEP_L_NEG_1_G018,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 018,Production Order,2029-12-03
PO-000064:MEP_L_NEG_1_G019,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 019,Production Order,2029-12-03
PO-000065:MEP_L_NEG_1_G020,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 020,Production Order,2029-12-03
PO-000066:MEP_L_NEG_1_G021,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 021,Production Order,2029-12-03
PO-000067:MEP_L_NEG_1_G022,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 022,Production Order,2029-12-03
PO-000068:MEP_L_NEG_1_G023,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 023,Production Order,2029-12-03
PO-000069:MEP_L_NEG_1_G024,2029-12-03 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 024,Production Order,2029-12-03
PO-000070:STRUCT_COL_15_0_STRUCTURAL_BAMBOO_CLB,2029-12-03 00:00:00,455.52,0.0,24.0,L 0 Zone 1|L 0 Zone 2|L 0 Zone 3|L 0 Zone 4,L 0,Structural,Structural Columns,"Structural Column 15' - 0"" | Structural Bamboo (CLB) assembly",Production Order,2029-12-03
PO-000071:INTW_L_NEG_1_ASSEMBLY,2029-12-04 00:00:00,1296.0700000000002,1943.0,16.0,L -1 Zone 1|L -1 Zone 3,L -1,Architecture,Walls,Interior Walls L -1,Production Order,2029-12-04
PO-000072:MEP_L_NEG_1_G025,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 025,Production Order,2029-12-04
PO-000073:MEP_L_NEG_1_G026,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 026,Production Order,2029-12-04
PO-000074:MEP_L_NEG_1_G027,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 027,Production Order,2029-12-04
PO-000075:MEP_L_NEG_1_G028,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 028,Production Order,2029-12-04
PO-000076:MEP_L_NEG_1_G029,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 029,Production Order,2029-12-04
PO-000077:MEP_L_NEG_1_G030,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 030,Production Order,2029-12-04
PO-000078:MEP_L_NEG_1_G031,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 031,Production Order,2029-12-04
PO-000079:MEP_L_NEG_1_G032,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 032,Production Order,2029-12-04
PO-000080:MEP_L_NEG_1_G033,2029-12-04 00:00:00,0.24,5.0,3.0,L -1 Zone 1,L -1,MEP,Plumbing Fixtures,MEP Rough-In L -1 Group 033,Production Order,2029-12-04
PO-000081:MEP_L_NEG_1_G034,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 034,Production Order,2029-12-04
PO-000082:MEP_L_NEG_1_G035,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 035,Production Order,2029-12-04
PO-000083:MEP_L_NEG_1_G036,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 036,Production Order,2029-12-04
PO-000084:MEP_L_NEG_1_G037,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 037,Production Order,2029-12-04
PO-000085:MEP_L_NEG_1_G038,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 038,Production Order,2029-12-04
PO-000086:MEP_L_NEG_1_G039,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 039,Production Order,2029-12-04
PO-000087:MEP_L_NEG_1_G040,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 040,Production Order,2029-12-04
PO-000088:MEP_L_NEG_1_G041,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 041,Production Order,2029-12-04
PO-000089:MEP_L_NEG_1_G042,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 042,Production Order,2029-12-04
PO-000090:MEP_L_NEG_1_G043,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 043,Production Order,2029-12-04
PO-000091:MEP_L_NEG_1_G044,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 044,Production Order,2029-12-04
PO-000092:MEP_L_NEG_1_G045,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 045,Production Order,2029-12-04
PO-000093:MEP_L_NEG_1_G046,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 046,Production Order,2029-12-04
PO-000094:MEP_L_NEG_1_G047,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 047,Production Order,2029-12-04
PO-000095:MEP_L_NEG_1_G048,2029-12-04 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 048,Production Order,2029-12-04
PO-000096:STRUCT_COL_15_0_STRUCTURAL_BAMBOO_CLB,2029-12-04 00:00:00,208.77999999999997,0.0,11.0,L 0 Zone 1|L 0 Zone 2|L 0 Zone 3,L 0,Structural,Structural Columns,"Structural Column 15' - 0"" | Structural Bamboo (CLB) assembly",Production Order,2029-12-04
PO-000097:STRUCT_FRAME_10_0_STRUCTURAL_BAMBOO_CLB,2029-12-04 00:00:00,230.92000000000002,0.0,14.0,,,Structural,Structural Framing,"Structural Framing 10' - 0"" | Structural Bamboo (CLB) assembly",Production Order,2029-12-04
PO-000098:STRUCT_FRAME_14_6_STRUCTURAL_BAMBOO_CLB,2029-12-04 00:00:00,98.65,0.0,4.0,,,Structural,Structural Framing,"Structural Framing 14' - 6"" | Structural Bamboo (CLB) assembly",Production Order,2029-12-04
PO-000099:STRUCT_FRAME_17_7_STRUCTURAL_BAMBOO_CLB,2029-12-04 00:00:00,48.78,0.0,1.0,,,Structural,Structural Framing,"Structural Framing 17' - 7"" | Structural Bamboo (CLB) assembly",Production Order,2029-12-04
PO-000100:STRUCT_FRAME_18_3_7_8_STRUCTURAL_BAMBOO_CLB,2029-12-04 00:00:00,30.1,0.0,1.0,,,Structural,Structural Framing,"Structural Framing 18' - 3 7/8"" | Structural Bamboo (CLB) assembly",Production Order,2029-12-04
PO-000101:STRUCT_FRAME_20_1_STRUCTURAL_BAMBOO_CLB,2029-12-04 00:00:00,48.78,0.0,1.0,,,Structural,Structural Framing,"Structural Framing 20' - 1"" | Structural Bamboo (CLB) assembly",Production Order,2029-12-04
PO-000102:STRUCT_FRAME_21_10_3_4_STRUCTURAL_BAMBOO_CLB,2029-12-04 00:00:00,36.35,0.0,1.0,,,Structural,Structural Framing,"Structural Framing 21' - 10 3/4"" | Structural Bamboo (CLB) assembly",Production Order,2029-12-04
PO-000103:STRUCT_FRAME_29_0_STRUCTURAL_BAMBOO_CLB,2029-12-04 00:00:00,536.5799999999999,0.0,11.0,,,Structural,Structural Framing,"Structural Framing 29' - 0"" | Structural Bamboo (CLB) assembly",Production Order,2029-12-04
PO-000104:STRUCT_FRAME_9_6_STRUCTURAL_BAMBOO_CLB,2029-12-04 00:00:00,15.48,0.0,1.0,,,Structural,Structural Framing,"Structural Framing 9' - 6"" | Structural Bamboo (CLB) assembly",Production Order,2029-12-04
PO-000105:INTW_L_NEG_1_ASSEMBLY,2029-12-05 00:00:00,687.1400000000001,1030.0,10.0,L -1 Zone 3,L -1,Architecture,Walls,Interior Walls L -1,Production Order,2029-12-05
PO-000106:MEP_L_NEG_1_G049,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 049,Production Order,2029-12-05
PO-000107:MEP_L_NEG_1_G050,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 050,Production Order,2029-12-05
PO-000108:MEP_L_NEG_1_G051,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 051,Production Order,2029-12-05
PO-000109:MEP_L_NEG_1_G052,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 052,Production Order,2029-12-05
PO-000110:MEP_L_NEG_1_G053,2029-12-05 00:00:00,0.0,0.0,3.0,,,,,MEP Rough-In L -1 Group 053,Production Order,2029-12-05
